,id,title,labels,scores,status
19308,yOxb03ThcW,Polyglot-R1: Reinforcement Learning for Multilingual Multi-Perspective Reasoning in LLMs,LLMs,"[2,2,4,4]",Withdraw
8075,PKIEzYcoxD,ToMPO: Training LLM Strategic Decision Making from a Multi-Agent Perspective,LLMs,"[2,4,4,6]",Reject
10067,VHQc7wzmYv,TokUR: Token-Level Uncertainty Estimation for Large Language Model Reasoning,LLMs,"[4,4,6]",Poster
10821,Xobl2VHyVb,Can LLMs Design Real Hardware? A New Benchmark for RTL Design and Verification Tasks,LLMs,"[2,4,4,4]",Reject
11966,bMDdjg75NS,TARG: Training-Free Adaptive Retrieval Gating for Efficient RAG,LLMs,"[2,4,6]",Reject
9262,SsUjdSVdUl,Critique-RL: Training Critiquing Language Models Through Two-Stage RL for Improved Discrimination and Constructive Feedback,LLMs,"[4,4,6,6]",Poster
390,16VO5idmo5,Enhancing RAG with Active Learning on Conversation Records: Reject Incapables and Answer Capables,LLMs,"[2,4,4,4]",Withdraw
13753,gxKvAhqhmT,FedKLS: Federated KL-Driven Low-rank SVD Adaptation in Non-IID Data Distributions,LLMs,"[2,4,4]",Reject
5295,Ge1DKuzWTO,ToolWeaver: Weaving Collaborative Semantics for Scalable Tool Use in Large Language Models,LLMs,"[4,4,4,6,6,6]",Poster
17632,t38nZqqi3Z,LLM Fingerprinting via Semantically Conditioned Watermarks,LLMs,"[6,6,6,8]",Oral
1654,5BRMteyNOp,Unleashing Scientific Reasoning for Bio-experimental Protocol Generation via Structured Component-based Reward Mechanism,LLMs,"[2,6,8,8]",Poster
10463,WdzHfmpDZR,Training-Free Speedup for Retrieval-Augmented Generation with Staged Parallel Speculation,LLMs,"[2,4,6,6]",Reject
9329,T5dwUK8Rc9,Proof2Hybrid: Automatic Mathematical Benchmark Synthesis for Proof-Centric Problems,LLMs,"[2,2,6,6]",Reject
9284,Swy0XEqJdA,Signature-Guided Adversarial Attacks On Healthcare LLMs: Exposing PII Leakage In RAG Systems,LLMs,"[2,2,6]",Reject
18922,x9tSyvnD8o,"Mixture of Thoughts: Learning to Aggregate What Experts Think, Not Just What They Say",LLMs,"[2,4,4,6]",Reject
8332,Q6hMSV2QAg,Compute-efficient Evaluation of LLM Voting Accuracy,LLMs,"[2,2,2,4]",Withdraw
19407,yjr2jX41qO,Channel-Aware Mixed-Precision Quantization for Efficient Long-Context Inference,LLMs,"[2,4,6]",Poster
13804,h6CQPEYAVp,A Unified Perspective and Review on Tree Search for LLMs Test-Time Scaling,LLMs,"[2,4,6]",Withdraw
8320,Q5QLu7XTWx,PCB-Bench: Benchmarking LLMs for Printed Circuit Board Placement and Routing,LLMs,"[6,6,6]",Poster
9143,SVgTPbCq5U,Reflection Trigger: Latent Self-Correction for Question Answering by Steering Vector Injection,LLMs,"[2,2,4,4]",Reject
14296,ia9vDh0Ltn,Catalog-Native LLM: Speaking Item-ID dialect with Less Entanglement for Recommendation,LLMs,"[6,6,6,6]",Poster
14778,k3ylkWMJAc,Self-Aware Reinforcement Learning for Improving LLMs with Minimal Data,LLMs,"[2,2,4,4,6]",Reject
19543,zATqiLdjfM,MARVEL: Multi-Agent RTL Vulnerability Extraction using Large Language Models,LLMs,"[4,4,4]",Reject
9788,URRq4xm6kb,Single Answer is Not Enough: On Generating Ranked Lists with Medical Reasoning Models,LLMs,"[2,2,4,4]",Withdraw
5294,Gdpv6fBqrX,PROF: An LLM-based Reward Code Preference Optimization Framework for Offline Imitation Learning,LLMs,"[2,2,4,6]",Withdraw
7565,Nlsv8Z8fX7,EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning,LLMs,"[2,4,6]",Withdraw
17986,uDQ4pvbkxc,VAM: Value-Attention Merging for KV Cache Optimization in LLMs,LLMs,"[2,2,4,4]",Withdraw
13373,ffRPEtHtqZ,FPEdit: Robust LLM Fingerprinting through Localized Parameter Editing,LLMs,"[2,4,4,6]",Withdraw
5238,GSWQ0Vi9Mh,"DIYHealth Suite: Dataset, Model, and Benchmark for Health Management at Home",LLMs,"[4,4,6,6]",Reject
14772,k3IAjIsfyw,OracleKV: Oracle Guidance for Question-Independent KV Cache Eviction,LLMs,"[2,4,4,6]",Reject
18623,wBU6aBTcPF,KGQA-Star:Deliberative Reasoning for Planning on Knowledge Graphs for Question Answering,LLMs,"[2,2,4,4]",Withdraw
14343,iiZy6xyVVE,Language Models Need Sleep: Learning to Self Modify and Consolidate Memories,LLMs,"[0,2,4,4]",Reject
10256,VtN1z92lvu,Decision Aggregation under Quantal Response,LLMs,"[6,6,8]",Poster
18781,wfTt4wZtaj,A Bilingual Acupuncture Question Answering System via Lightweight LLMs and Retrieval-Augmented Generation,LLMs,"[0,2,2]",Desk Reject
6583,KcJvi3Sd9x,Improving Training Efficiency via Language Specific Model Merging,LLMs,"[2,2,2,4]",Withdraw
9763,UMZqvCvnnX,Exploring System-1 and System-2 Communication for Latent Reasoning in LLMs,LLMs,"[2,4,4,6]",Reject
4162,D9Oq3c5iHn,GALE: Gradient Activation Low-rank Extraction for Fast Memory Efficient Large Language Model Training,LLMs,"[2,4,4]",Reject
4869,FLPC7eZ9K0,Beyond Static Retrieval Policies: Task-Aware Adaptive RAG With METAR,LLMs,"[2,2,2,4]",Reject
436,1GQv7jhmtV,Euclid-Omni: A Unified Neuro-Symbolic Framework for Geometry Problem Solving,LLMs,"[2,4,6,10]",Reject
17355,s9V8x1kAra,Robust Safety Guarantee for Large Language Models via Preference-Augmented Distributional Alignment,LLMs,"[0,2,4,4]",Reject
16951,qsra0EsUpe,Test-Time Optimization of 3D Point Cloud LLM via Manifold-Aware In-Context Guidance and Refinement,LLMs,"[2,6,6]",Poster
17400,sIOgOQttFQ,MegaFlow: Large-Scale Distributed Orchestration System for the Agentic Era,LLMs,"[4,6,6,6]",Reject
10969,YGZdVl454O,When Small Models Team Up: A Weak‑Expert Ensemble Surpassing LLMs for Automated Intellectual‑Property Audits,LLMs,"[2,2,4,4]",Withdraw
14383,isFHz8qf20,Agentic Collaboration as an Information Bottleneck Problem,LLMs,"[4,4,6,6]",Poster
11132,Ylf5t1j4Yu,Case-Based Reasoning Enhances the Predictive Power of LLMs in Drug-Drug Interaction,LLMs,"[2,4,4,6]",Reject
13960,hZEp4WvoX7,BASE-Q: Bias and Asymmetric Scaling Enhanced Rotational Quantization for Large Language Models,LLMs,"[4,4,6,8]",Reject
4829,FDdOD3qwS7,Beyond Uniformity: Sample and Frequency Meta Weighting for Post-Training Quantization of Diffusion Models,LLMs,"[4,4,6]",Poster
2455,7fn75St2Ee,ProteinZero: Self-Improving Protein Generation via Online Reinforcement Learning,LLMs,"[4,6,6]",Reject
5049,Fs61Opr7aY,Adversarial Distilled Retrieval-Augmented Guarding Model for Online Malicious Intent Detection,LLMs,"[2,2,4,6]",Desk Reject
5675,HreYquZ5xs,Teach2Eval: An Interaction-Driven LLMs Evaluation Method via Teaching Effectiveness,LLMs,"[4,4,6]",Poster
4653,Ef0nUFg3Jw,LoRA Users Beware: A Few Spurious Tokens Can Manipulate Your Finetuned Model,LLMs,"[2,2,4]",Reject
10308,W4g4YgAlsY,LikeBench: Evaluating Subjective Likability in LLMs for Personalization,LLMs,,Desk Reject
10104,VPmsAr1OTl,Textual Bayes: Quantifying Uncertainty in LLM-Based Systems,LLMs,"[2,4,6,6,6]",Poster
19453,ysT0BCmZ3S,Language Matters: How Do Multilingual Input and Reasoning Paths Affect Large Reasoning Models?,LLMs,"[2,2,4,4]",Withdraw
7042,M4MeBjYiHl,Aligning News and Prices: A Cross-Modal LLM-Enhanced Transformer DRL Framework for Volatility-Adaptive Stock Trading,LLMs,"[2,2,2,2]",Withdraw
16410,pBPToqFbRO,Discovering Forbidden Topics in Language Models,LLMs,"[4,4,6,6]",Reject
11804,aooJUiadOm,ReXMoE: Reusing Experts with Minimal Overhead in Mixture-of-Experts,LLMs,"[4,4,4,4,6]",Reject
18000,uFvGSsTMZN,HugAgent: Evaluating LLMs in Simulating Human-Like Individual Reasoning on Open-Ended Tasks,LLMs,"[2,4,6,6]",Reject
2160,6i6cuKURtr,Self-Disguise Attack: Induce the LLM to disguise itself for AIGT detection evasion,LLMs,"[2,2,6,6]",Withdraw
6924,LhSieiKSc8,Sentiment-weighted advantage updates for portfolio optimization with reinforcement learning,LLMs,"[2,2,2,4]",Withdraw
6600,KeS5DtjdLi,TalkToAgent: A Human-centric Explanation of Reinforcement Learning Agents with Large Language Models,LLMs,"[2,2,2,2]",Withdraw
14011,hhq89Hs7T3,VCWorld: A Biological World Model for Virtual Cell Simulation,LLMs,"[2,4,6,6]",Poster
14024,hj9eKpqxQl,Learn to Reason Efficiently with Adaptive Length-based Reward Shaping,LLMs,"[4,6,6,6]",Poster
8227,PlkzZhqBCd,Enhancing Language Model Reasoning with Structured Multi-Level Modeling,LLMs,"[4,4,4,6]",Poster
9202,SiTmdB95ad,FIKSurvey: An Automated Peer Review Loop to Raise the Ceiling on AI Academic Writing,LLMs,"[2,2,4,4]",Withdraw
8166,PYz3v5fgqU,Meta-Awareness Enhances Reasoning Models: Self-Alignment Reinforcement Learning,LLMs,"[2,2,2,4]",Withdraw
2227,6x4DWjhMsH,Scaling Laws of Refusal Robustness: Why Bigger LMs Are Not Necessarily Safer,LLMs,"[0,0,2,2]",Desk Reject
8081,PL4aPRtr3R,Transferring Jailbreak Attacks from Public to Private LLMs via Local Prompt Optimization,LLMs,"[2,4,4,4]",Reject
8790,ROioaZ45Yz,"When Weak LLMs Speak with Confidence, Preference Alignment Gets Stronger",LLMs,"[2,4,6,6,8]",Poster
5366,GtjELGHkPB,Weak-to-Strong GraphRAG: Aligning Weak Retrievers with Large Language Models for Graph-based Retrieval Augmented Generation,LLMs,"[2,2,6,8]",Reject
373,13bCB5VnDy,Where and Why in Image Forgery: A Benchmark for Joint Localization and Explanation,LLMs,"[2,4,4,4]",Withdraw
16622,ptUxbqOGrC,Diversity for The Win: Towards Building Multi-Agent Systems with Heterogeneous LLMs,LLMs,"[2,2,4,6]",Withdraw
8069,PJ2z6s2gM3,The emergence of the left-right asymmetry in predicting brain activity from LLMs' representations specifically correlates with their formal linguistic competence,LLMs,"[2,2,4,6]",Reject
4012,CbK7lYbmv8,Rethinking LLM Reasoning: From Explicit Trajectories to Latent Representations,LLMs,"[4,4,4,8]",Poster
12573,dCJZR0P4T5,Stop Tracking Me! Proactive Defense Against Attribute Inference Attack in LLMs,LLMs,"[4,6,6,6]",Poster
3125,9pqzSyIDu5,CP Merging: Joint LoRA Merging using Canonical Polyadic Decomposition,LLMs,"[4,4,4,4]",Withdraw
1233,3qiCnLf3jf,Best-of-Infinity: Asymptotic Performance of Test-Time Compute,LLMs,"[2,2,4,6]",Poster
6574,Kan6Z0zzZi,SeedPrints: Fingerprints Can Even Tell Which Seed Your Large Language Model Was Trained From,LLMs,"[4,4,4,6]",Poster
16117,oFQN4JrriB,"Identifying and Reducing ""Generative Collisions"" in Black-Box Large Language Models",LLMs,"[2,2,8]",Desk Reject
2956,9JxOVBdwNf,United Minds or Isolated Agents? Exploring Coordination of LLMs under Cognitive Load Theory,LLMs,"[2,4,6,6]",Desk Reject
6727,L0pYHTvAH6,Collision- and Reachability-Aware Multi-Robot Control with Grounded LLM Planners,LLMs,"[2,2,6]",Reject
77,0FbhKezdBK,ENERGYLLM-BENCH:AREPRODUCIBLEBENCHMARKFORENERGYAND CARBONFOOTPRINTOFLARGELANGUAGEMODELS,LLMs,,Desk Reject
5892,ISHsdUmdpn,Compute as Teacher: Turning Inference Compute Into Reference-Free Supervision,LLMs,"[4,4,4,6]",Reject
9771,UNaGjOSQ7F,GSLLM: Geospatial Knowledge Acquisition for Large Language Model,LLMs,"[2,2,4,6]",Reject
1625,57D4Uaiiyi,Generalization and Scaling Laws for Mixture-of-Experts Transformers,LLMs,"[4,4,6,8]",Reject
3837,C3pTq4A7zf,MoM: Mixtures of Scenario-Aware Document Memories for Retrieval-Augmented Generation Systems,LLMs,"[2,4,4,4]",Withdraw
10871,XxBR2KNWNh,Measuring and Mitigating Identity Bias in Multi-Agent Debate via Anonymization,LLMs,"[2,4,4,6]",Withdraw
17394,sGvkPW8en4,RefineX: Learning to Refine Pre-training Data at Scale from Expert-Guided Programs,LLMs,"[2,4,6,6]",Desk Reject
9872,Uf04r8gDn7,Paraphrase-Robust Conformal Prediction for Reliable LLM Uncertainty Quantification,LLMs,"[2,4,4,6]",Reject
8067,PIxyvNPhSh,Go4RL: Improving the Pre-training Data Mixture of Large Language Models for Enhancing Reinforcement Learning,LLMs,"[2,4,4,6]",Reject
15461,m4MhSqtaPC,Enhancing Neural Decompilation with Code-aware Fine-Tuning and Inference-time Refinement,LLMs,"[4,4,4,6]",Reject
18926,xAlVdfViUC,The Privacy-Hallucination Tradeoff in Differentially Private Language Models,LLMs,"[2,2,6,6]",Withdraw
17556,snm8tq7sdI,InfoDeepSeek: Benchmarking Agentic Information Seeking for Retrieval-Augmented Generation,LLMs,"[4,4,4,6]",Reject
17755,tQQOkvCshF,Learning Argumentative Summarization with Iterative Rejection Sampling,LLMs,"[2,2,2]",Reject
10531,WrkArtWf3u,Uncertainty-Guided Checkpoint Selection for Reinforcement Finetuning of Large Language Models,LLMs,"[2,2,2,4]",Withdraw
6449,KE43G03vI7,Discovering and Leveraging Entropy-Complexity Relationships for Efficient Large Language Model Reasoning,LLMs,"[0,4,4,6]",Reject
926,2u5ZRzDyS0,Your Models Have Thought Enough: Training Large Reasoning Models to Stop Overthinking,LLMs,"[4,4,4,4]",Poster
17515,seC2zjI0Ki,RECAP: Reproducing Copyrighted Data from LLMs Training with an Agentic Pipeline,LLMs,"[4,4,6,8]",Reject
12664,dS8yBzHV70,Learning to Interrupt in Language-based Multi-agent Communication,LLMs,"[4,4,6,6]",Reject
14744,jz41Oh9eV1,Robust Preference Alignment via Directional Neighborhood Consensus,LLMs,"[4,4,6,6]",Poster
618,1sffPGGQyT,Achieving Expert-Level Agent from Foundation Model via Complexity Curriculum Reinforcement Learning with Synthetic Data,LLMs,"[6,6,8,8]",Poster
4956,FafH4GM4uc,"Universal Reasoner: A Single, Composable Plug-and-Play Reasoner for Frozen LLMs",LLMs,"[4,6,6,6]",Reject
2611,87ySF7viys,RESTRAIN: From Spurious Votes to Signals — Self-Training RL with Self-Penalization,LLMs,"[6,6,8]",Poster
8959,RwPHqH8UlK,Dynamic Preference Calibration: Meta-Learning Soft Labels for Robust Alignment,LLMs,"[2,4,4,8]",Withdraw
5462,HBXUC3YtP4,Exposing Weaknesses of Large Reasoning Models through Graph Algorithm Problems,LLMs,"[4,4,6,8]",Poster
12483,cuN6DSCS8i,Inference-time Unlearning via Adaptive Output Regulation,LLMs,"[2,2,4,6]",Withdraw
2846,8yjWLJy2eX,Improving Code Localization with Repository Memory,LLMs,"[4,4,6,8]",Poster
17837,tjZHVvgmZt,Rustify: Towards Repository-Level C to Safer Rust via Workflow-Guided Multi-Agent Transpiler,LLMs,"[2,2,2,4]",Withdraw
766,2KjMQGOm4b,The Differences Between Direct Alignment Algorithms are a Blur,LLMs,"[2,2,2,6,10]",Reject
15726,msoXUX5xvy,Modeling the language cortex with form-independent and enriched representations of sentence meaning reveals remarkable semantic abstractness,LLMs,"[2,4,4,10]",Reject
12475,ctkVFKXDMX,ChemisTRAG: Table-based Retrieval-Augmented Generation for Chemistry Question Answering,LLMs,"[4,4,4,6]",Reject
421,1ECWEP3pAY,Dr.Mi-Bench: A Modular-integrated Benchmark for Scientific Deep Research Agent,LLMs,"[4,4,4,6]",Reject
5251,GUhmiJaAzv,Beyond Speedup - Utilizing KV Cache for Sampling and Reasoning,LLMs,"[4,4,4,6,6]",Poster
5651,HlPHSHLI61,PURE: Prototypical Mutual Prompting Enhancement for Zero-shot Text-attributed Graph Learning,LLMs,"[2,4,6,6]",Withdraw
14271,iVeqLVyWO8,One Model to Critique Them All: Rewarding Agentic Tool-Use via Efficient Reasoning,LLMs,"[2,4,4,6]",Withdraw
2671,8KE9qvKhM4,SPARTA: Scalable and Principled Benchmark of Tree-Structured Multi-hop QA over Text and Tables,LLMs,"[4,4,6,6]",Poster
1095,3QHKJcwnpb,Bradley-Terry and Multi-Objective Reward Modeling Are Complementary,LLMs,"[4,4,6,6]",Poster
4044,CicK2lJMUy,Learning to Reason in Structured In-context Environments with Reinforcement Learning,LLMs,"[4,4,6]",Poster
2970,9MnfWtlqFs,DIVER : Large Language Model Decoding with Span-Level Mutual Information Verification,LLMs,"[2,4,4]",Reject
12445,cnkWuCj6X6,EAPO: Expert-guided Adaptive Preference Optimization for Recommendation,LLMs,"[4,4,6,6]",Reject
15708,mpwnjHxtBP,AutoPBO: LLM-powered Optimization for Local Search PBO Solvers,LLMs,"[0,2,2,2,2,2,4,4,6]",Reject
1723,5O5AlNVAbs,ProcessLID: Step-wise Internal Reward in LLM Reasoning via Local Intrinsic Dimension,LLMs,"[2,2,4,6,6]",Reject
1819,5doZa7g4XL,Breaking the Exploration Bottleneck: Rubric-Scaffolded Reinforcement Learning for General LLM Reasoning,LLMs,"[2,4,6,8]",Reject
7365,N8CZOsnBbg,Nature-Inspired Population-Based Evolution of Large Language Models,LLMs,"[2,2,6]",Withdraw
7957,P00k4DFaXF,Process-Verified Reinforcement Learning for Theorem Proving via Lean,LLMs,"[2,4,6,8]",Poster
18062,uRDsLCJo2x,Learning Compact Representations of LLM Abilities via Item Response Theory,LLMs,"[2,4,4,4,6]",Reject
4412,DwxEIQe0XR,Language Bottleneck Models: A Framework for Qualitative Cognitive Diagnosis,LLMs,"[2,2,2,4]",Reject
10477,WgyDYMUfSK,RA-SpaRC: Robust Adaptation with Sparse Plus Low-Rank Compressors,LLMs,"[2,4,4,4]",Withdraw
6426,K9GxQKEJzS,Bootstrapping Language and Numerical Feedback for Reinforcement Learning in LLMs,LLMs,"[2,4,6]",Reject
10553,WvIa2MnS4D,"Coder-R3: Recognize, Review and Repair Defective Code with Finetuned LLMs in Practice",LLMs,"[2,4,4,4,4]",Reject
6063,IysKdBVQ6y,Improving Complex SQL Generation for Text-to-SQL by Addressing Semantic Blind Spots in Pending SQL Components,LLMs,"[4,4,6,6]",Withdraw
4144,D5PJX02Jki,Beyond Real: Imaginary Extension of Rotary Position Embeddings for Long-Context LLMs,LLMs,"[4,6,6,8]",Poster
459,1MCQzboBrR,Model Collapse Is Not a Bug but a Feature in Machine Unlearning for LLMs,LLMs,"[4,4,6,6]",Poster
2552,7y11BdJIOp,Critic–Adviser–Reviser Cyclic Refinement: Towards High-Quality EMR Corpus Generation with LLMs,LLMs,"[4,4,6,8]",Poster
15266,lW7kMpMj9K,VeriRole: Verifiable Role-Awareness through Hint-Guided Reinforcement Learning,LLMs,"[4,6,6,6]",Poster
13203,f7p0F2X6XN,Evoking User Memory: Personalizing LLM via Recollection-Familiarity Adaptive Retrieval,LLMs,"[4,6,6,6,8]",Poster
16200,oSk9tP5Mgs,FAFO: Lossy KV Cache Compression for Lossless Inference Acceleration via Draftless Fumble Decoding,LLMs,"[2,4,6,6]",Reject
400,17wW0MWqjl,LLM-OAP: LLM-based Data Augmentation Framework for Enhancing Order Acceptance Prediction in Mobility-on-Demand Systems,LLMs,"[2,4,6,6]",Reject
8054,PGUC3mmMoi,RoboInter: A Holistic Intermediate Representation Suite Towards Robotic Manipulation,LLMs,"[6,6,8,8]",Poster
11241,Z5ijW8gvSc,Recycling Pretrained Checkpoints: Orthogonal Growth of Mixture-of-Experts for Efficient Large Language Model Pre-Training,LLMs,"[2,4,6]",Reject
9630,TymIGntiqo,InterCorpRel-LLM: Enhancing Financial Relational Understanding with Graph–Language Models,LLMs,,Withdraw
2108,6Yl5BJoRJB,Generation-Augmented Multimodal Retrieval in Personal LLM Agents,LLMs,"[2,4,4,6]",Reject
12460,cqNAjXUBOV,Tables2Traces: Distilling Tabular Data to Improve LLM Reasoning in Healthcare,LLMs,"[4,4,6,6]",Reject
7748,OMjcX1Z6Uu,Markovian Transformers for Informative Language Modeling,LLMs,"[4,4,4,6]",Poster
18144,uikLSN1yot,The SMeL Test: A simple benchmark for media literacy in language models,LLMs,"[2,2,4,8]",Reject
548,1cypyDBSAl,Emotion-o1: Adaptive Long Reasoning for Emotion Understanding in LLMs,LLMs,"[2,2,4,4]",Withdraw
19021,xYpVlKMFqv,NextQuill: Causal Preference Modeling for Enhancing LLM Personalization,LLMs,"[4,4,6,6]",Poster
14358,ilnKzaQSCh,Automatic Dialectic Jailbreak: A Framework for Generating Effective Jailbreak Strategies,LLMs,"[4,4,6,8]",Poster
7990,P5OKoZdwlB,MicroMix: Efficient Mixed-Precision Quantization with Microscaling Formats for Large Language Models,LLMs,"[4,4,4,6]",Poster
15154,lAa9nhwLdu,Stable Forgetting: Bounded Parameter-Efficient Unlearning in LLMs,LLMs,"[4,4,6]",Reject
3410,AiNeKuyuUy,FLoE: Fisher-Based Layer Selection for Efficient Sparse Adaptation of Low-Rank Experts,LLMs,"[4,4,4,6]",Withdraw
1690,5HJkrZTtqr,LiveNewsBench: Evaluating LLM Web Search Capabilities with Freshly Curated News,LLMs,"[2,2,4,4]",Reject
3698,BejA1KL8cA,F1-Reasoner: Synthesizing Verifiable Reasoning Data From Formal Math Statements,LLMs,"[2,4,4,6,6]",Reject
7763,OPILnVEpNT,Rethinking Supervised Fine-Tuning: Emphasizing Key Answer Tokens for Improved LLM Accuracy,LLMs,"[0,2,2,2]",Reject
4100,CuYto2s2Kd,Automating Structural Engineering Workflows with Large Language Model Agents,LLMs,"[2,4,4,6]",Withdraw
7196,MZjccYMFlV,CortexVLA: Bridging the Gap between Cognition and Action via Function Calling,LLMs,"[2,4,4,8]",Reject
3381,AdGzzS6NeH,Text-guided Group Mixup with Canonical Mining for Imbalanced Graph Clustering,LLMs,"[2,2,6,6]",Withdraw
